pair,total_ibd_mb,sample_a,sample_b
"('NA19318_NA19318', 'NA19379_NA19379')",54.671543,NA19318_NA19318,NA19379_NA19379
"('NA19385_NA19385', 'NA19396_NA19396')",54.489292,NA19385_NA19385,NA19396_NA19396
"('NA19391_NA19391', 'NA19396_NA19396')",54.335347,NA19391_NA19391,NA19396_NA19396
"('NA19376_NA19376', 'NA19468_NA19468')",54.244589000000005,NA19376_NA19376,NA19468_NA19468
"('NA19360_NA19360', 'NA19456_NA19456')",54.171549,NA19360_NA19360,NA19456_NA19456
"('NA19316_NA19316', 'NA19467_NA19467')",54.162915,NA19316_NA19316,NA19467_NA19467
"('NA19318_NA19318', 'NA19463_NA19463')",54.145542999999996,NA19318_NA19318,NA19463_NA19463
"('NA19328_NA19328', 'NA19440_NA19440')",53.984363,NA19328_NA19328,NA19440_NA19440
"('NA19319_NA19319', 'NA19373_NA19373')",53.86511,NA19319_NA19319,NA19373_NA19373
"('NA19331_NA19331', 'NA19395_NA19395')",53.795326,NA19331_NA19331,NA19395_NA19395
"('NA19338_NA19338', 'NA19352_NA19352')",53.61919,NA19338_NA19338,NA19352_NA19352
"('NA19435_NA19435', 'NA19466_NA19466')",53.533549,NA19435_NA19435,NA19466_NA19466
"('NA19331_NA19331', 'NA19379_NA19379')",53.434919,NA19331_NA19331,NA19379_NA19379
"('NA19350_NA19350', 'NA19393_NA19393')",53.203681,NA19350_NA19350,NA19393_NA19393
"('NA19308_NA19308', 'NA19328_NA19328')",53.16725,NA19308_NA19308,NA19328_NA19328
"('NA19035_NA19035', 'NA19463_NA19463')",53.138893,NA19035_NA19035,NA19463_NA19463
"('NA19372_NA19372', 'NA19466_NA19466')",53.035407,NA19372_NA19372,NA19466_NA19466
"('NA19359_NA19359', 'NA19451_NA19451')",53.027688,NA19359_NA19359,NA19451_NA19451
"('NA19332_NA19332', 'NA19377_NA19377')",53.025147,NA19332_NA19332,NA19377_NA19377
"('NA19334_NA19334', 'NA19390_NA19390')",52.971805,NA19334_NA19334,NA19390_NA19390
"('NA19436_NA19436', 'NA19466_NA19466')",52.960413,NA19436_NA19436,NA19466_NA19466
"('NA19310_NA19310', 'NA19456_NA19456')",52.586718999999995,NA19310_NA19310,NA19456_NA19456
"('NA19311_NA19311', 'NA19327_NA19327')",52.542889,NA19311_NA19311,NA19327_NA19327
"('NA19046_NA19046', 'NA19328_NA19328')",52.482510999999995,NA19046_NA19046,NA19328_NA19328
"('NA19316_NA19316', 'NA19471_NA19471')",52.323802,NA19316_NA19316,NA19471_NA19471
"('NA19036_NA19036', 'NA19429_NA19429')",52.259260000000005,NA19036_NA19036,NA19429_NA19429
"('NA19350_NA19350', 'NA19431_NA19431')",52.190784,NA19350_NA19350,NA19431_NA19431
"('NA19390_NA19390', 'NA19401_NA19401')",52.131534,NA19390_NA19390,NA19401_NA19401
"('NA19355_NA19355', 'NA19437_NA19437')",52.115755,NA19355_NA19355,NA19437_NA19437
"('NA19311_NA19311', 'NA19338_NA19338')",52.110383,NA19311_NA19311,NA19338_NA19338
"('NA19394_NA19394', 'NA19395_NA19395')",51.902862999999996,NA19394_NA19394,NA19395_NA19395
"('NA19319_NA19319', 'NA19430_NA19430')",51.803232,NA19319_NA19319,NA19430_NA19430
"('NA19313_NA19313', 'NA19379_NA19379')",51.779251,NA19313_NA19313,NA19379_NA19379
"('NA19453_NA19453', 'NA19461_NA19461')",51.756128,NA19453_NA19453,NA19461_NA19461
"('NA19453_NA19453', 'NA19457_NA19457')",51.452429,NA19453_NA19453,NA19457_NA19457
"('NA19401_NA19401', 'NA19404_NA19404')",51.418615,NA19401_NA19401,NA19404_NA19404
"('NA19376_NA19376', 'NA19398_NA19398')",51.109745000000004,NA19376_NA19376,NA19398_NA19398
"('NA19313_NA19313', 'NA19318_NA19318')",51.092581,NA19313_NA19313,NA19318_NA19318
"('NA19307_NA19307', 'NA19375_NA19375')",51.073353,NA19307_NA19307,NA19375_NA19375
"('NA19338_NA19338', 'NA19393_NA19393')",51.046321,NA19338_NA19338,NA19393_NA19393
"('NA19308_NA19308', 'NA19469_NA19469')",51.014132999999994,NA19308_NA19308,NA19469_NA19469
"('NA19334_NA19334', 'NA19395_NA19395')",51.006325,NA19334_NA19334,NA19395_NA19395
"('NA19338_NA19338', 'NA19377_NA19377')",50.934019,NA19338_NA19338,NA19377_NA19377
"('NA19308_NA19308', 'NA19393_NA19393')",50.749078000000004,NA19308_NA19308,NA19393_NA19393
