pair,total_ibd_mb,sample_a,sample_b,pi_hat
"('NA19307', 'NA19328')",176.630072,NA19307,NA19328,0.0551968975
"('NA19355', 'NA19384')",176.627264,NA19355,NA19384,0.05519602
"('NA19332', 'NA19435')",176.436971,NA19332,NA19435,0.0551365534375
"('NA19352', 'NA19395')",176.389274,NA19352,NA19395,0.055121648125
"('NA19313', 'NA19446')",176.386997,NA19313,NA19446,0.0551209365625
"('NA19044', 'NA19346')",176.334837,NA19044,NA19346,0.055104636562499996
"('NA19317', 'NA19376')",176.309587,NA19317,NA19376,0.0550967459375
"('NA19044', 'NA19309')",176.266227,NA19044,NA19309,0.055083195937499996
"('NA19377', 'NA19446')",176.246131,NA19377,NA19446,0.0550769159375
"('NA19381', 'NA19404')",176.23654,NA19381,NA19404,0.05507391875
"('NA19395', 'NA19463')",176.163527,NA19395,NA19463,0.0550511021875
"('NA19359', 'NA19373')",176.132228,NA19359,NA19373,0.05504132125
"('NA19352', 'NA19430')",176.126483,NA19352,NA19430,0.0550395259375
"('NA19373', 'NA19457')",176.088997,NA19373,NA19457,0.0550278115625
"('NA19398', 'NA19467')",176.024526,NA19398,NA19467,0.055007664375
"('NA19428', 'NA19449')",176.022185,NA19428,NA19449,0.0550069328125
"('NA19313', 'NA19395')",176.000351,NA19313,NA19395,0.0550001096875
"('NA19444', 'NA19462')",175.958842,NA19444,NA19462,0.054987138125
"('NA19324', 'NA19435')",175.943999,NA19324,NA19435,0.0549824996875
"('NA19360', 'NA19431')",175.932131,NA19360,NA19431,0.0549787909375
"('NA19328', 'NA19449')",175.809785,NA19328,NA19449,0.0549405578125
"('NA19028', 'NA19350')",175.793113,NA19028,NA19350,0.0549353478125
"('NA19440', 'NA19445')",175.755448,NA19440,NA19445,0.0549235775
"('NA19327', 'NA19334')",175.742985,NA19327,NA19334,0.0549196828125
"('NA19453', 'NA19457')",175.702632,NA19453,NA19457,0.0549070725
"('NA19350', 'NA19435')",175.699137,NA19350,NA19435,0.054905980312500005
"('NA19351', 'NA19360')",175.681338,NA19351,NA19360,0.054900418125
"('NA19028', 'NA19359')",175.66131000000001,NA19028,NA19359,0.054894159375
"('NA19041', 'NA19381')",175.621907,NA19041,NA19381,0.0548818459375
"('NA19332', 'NA19391')",175.573291,NA19332,NA19391,0.0548666534375
"('NA19375', 'NA19430')",175.46733,NA19375,NA19430,0.054833540625
"('NA19327', 'NA19453')",175.462255,NA19327,NA19453,0.0548319546875
"('NA19382', 'NA19443')",175.437069,NA19382,NA19443,0.0548240840625
"('NA19359', 'NA19448')",175.432479,NA19359,NA19448,0.0548226496875
