ID1,ID2,PLINK_PIHAT,GERMLINE_IBD,BEAGLE_PIHAT
NA19020,NA19397,0.0413,0.007870832352941176,0.0056038234375
NA19020,NA19398,0.0438,0.008670792352941176,0.0051018334375
NA19020,NA19399,0.0443,0.008469343235294116,0.008543110625
NA19020,NA19401,0.0396,0.0013570273529411765,0.00345779375
NA19020,NA19403,0.0387,0.007711894411764706,0.0063586528125
NA19020,NA19404,0.0441,0.007862196176470588,0.00347239125
NA19020,NA19428,0.0423,0.009153986470588234,0.008055103125
NA19020,NA19429,0.0511,0.0077665405882352935,0.009268870625
NA19020,NA19430,0.0444,0.009219223529411765,0.0060631409375
NA19020,NA19431,0.0535,0.007946123823529412,0.008426385625
NA19020,NA19434,0.0401,0.008894184411764705,0.0028848696875
NA19020,NA19435,0.0396,0.010010243529411765,0.0055726675
NA19020,NA19436,0.0427,0.008684408823529412,0.0022775715625
NA19020,NA19437,0.0373,0.007567519411764706,0.0049964403125
NA19020,NA19438,0.0418,0.007775176764705882,0.007696676875
NA19020,NA19439,0.0389,0.008798940588235294,0.0051216121875
NA19020,NA19440,0.0419,0.009047843823529413,0.006019223125
NA19020,NA19443,0.0429,0.0009637776470588236,0.0057535765625
NA19020,NA19444,0.0429,0.007862196176470588,0.005604615937499999
NA19020,NA19445,0.0407,0.008817876176470589,0.0034647324999999996
NA19020,NA19446,0.0443,0.008931949117647059,0.00518249375
NA19020,NA19448,0.0469,0.007870832352941176,0.007050386875
NA19020,NA19449,0.041,0.008864396176470588,0.0062421684375
NA19020,NA19451,0.0427,0.011626885294117647,0.01201491125
NA19020,NA19452,0.0417,0.00793806794117647,0.002791230625
NA19020,NA19453,0.0401,0.009219223529411765,0.0037732978125
NA19020,NA19455,0.0434,0.007914740882352942,0.001402253125
NA19020,NA19456,0.0414,0.007841118235294117,0.0021229149999999995
NA19020,NA19457,0.042,0.0021427064705882353,0.0073440178125
NA19020,NA19461,0.0384,0.01044475205882353,0.000536264375
NA19020,NA19462,0.0391,0.010868977647058823,0.0053276715625000005
NA19020,NA19463,0.0443,0.007953562647058824,0.010682764062499999
NA19020,NA19466,0.0417,0.009077557941176472,0.007260155312500001
NA19020,NA19467,0.0403,0.008997771764705882,0.005229656875
NA19020,NA19468,0.0437,0.010238966176470589,0.004728446874999999
NA19020,NA19469,0.0418,0.007870832352941176,0.010655964687499998
NA19020,NA19470,0.0391,0.0012850926470588237,0.007199315625
NA19020,NA19471,0.0389,0.008681388529411764,0.0036106828124999996
NA19020,NA19472,0.0418,0.008802493529411764,0.0028056506250000003
NA19020,NA19473,0.0494,0.007841118235294117,0.006145068125000001
NA19020,NA19474,0.0417,0.007435968823529412,0.005211782187500001
